,report,institute,category
2,"Apakah pelebaran jalan kantor pos - pasar gudang tigaraksa mangkrak??..
karena dari awal januari sampai beberapa minggu lalu saya kesana tidak ada perubahan signifikan dan jalan disana area jembatan banjir dan area pelebaran juga banjir",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Infrastruktur Jalan
3,"Mohon maaf kami mohon bantuan terkait banjir ke lingkungan warga akibat kurang standartnya saluran drainase ruas jalan nasional lumajang - dampit 

km -8.142327,113.206280 s/d -8.135076,113.211658

mohon di survey karena kami sudah beberapa kali mengusulkan tapi tidak pernah ada realisasi

alamat : jl. letkol slamet wardoyo desa labruk lor kecamatan lumajang kabupaten lumajang propinsi jawa timur",Direktorat Jenderal Bina Marga,  Lainnya terkait Infrastruktur Jalan
4,"Banjar assalammualaikum wr wb.. ulun salah satu warga komplek mahligai km 7,, umpat menyuarakan aspirasi, untuk wilayah komplek mahligai (samping trio motor) saat ini masih tergenang banyu banjir khususnya yg didalam2 gang dan komplek perumahan, kalo ae ada tindakan misal penyedotan, normalisasi saluran sungai atau apa2 yg kawa di lakukan oleh pemerintah melalui dinas terkait. karena pengalaman mun hujan naik pulang banyu, klo imbah hari panas turun banyu, nang kytu2 aja kd be ampihan alias kada karing2 tetap menggenang banyu banjirnya. mudahan pesan ulun ini dapat ditanggapi oleh pihak terkait dan semogasegera ada tindakan. terima kasih",Dinas Pekerjaan Umum dan Penataan Ruang,  Infrastruktur Pendukung
5,"Yth dinas terkait kab. bojonegoro agar membuat saluran air dipinggir ruas jalan puk dander-bubulan. karena disaat hujan air membanjiri area jalan. sehingga membuat pengguna jalan ekstra hati"" karena air yang melintas sangat deras. semoga ditindaklanjuti. terima kasih.","Dinas Perumahan, Kawasan Permukiman dan Cipta Karya Kab. Bojonegoro",  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
6,"Sekarang surabaya khususnya di daerah sier, kutisari, siwalankerto dan sekitarnya setiap hujan selalu banjir. dan ini terjadi bertepatan bu risma tidak lagi menjabat sebagai walikota surabaya, padahal dahulu area tersebut hampir banjir saat hujan sekarang tiap hujan selalu banjir. puncaknya di awal bulan januari 2021 dimana sungai di jemursari pun tidak sanggup menampung debit air. tidak pernah lagi ada kegiatan pengerukan saluran air sejak pergantian walikota. mohon perhatian dan tindak lanjutnya.",Dinas Pekerjaan Umum Bina Marga dan Pematusan Pemerintah Kota Surabaya,  Pencemaran Lingkungan
7,Jembatan yang menghubungkan warga Desa Sakurjaya dengan perumahan pamoyanan ambruk akibat tergerus banjir bandang yang terjadi pada sungai cileuweung Desa Sakurjaya Kecamatan Ujungjaya Kabupaten Sumedang,Dinas Pekerjaan Umum dan Penataan Ruang,  Jembatan
8,"Mohon bantuan solusi. pembangunan apartemen nayumi samtower area sukarno hatta malang mengakibatkan kerugian bagi kami, yaitu rumah di jl.kadaka 25 kel. jatimulyo kec. lowokwaru menjadi banjir permanen dan tidak dapat di huni di lt bawah. atas perhatiannya kami ucapkan terima kasih.","Dinas Tenaga Kerja, Penanaman Modal dan Pelayanan Terpadu Satu Pintu Kota Malang",  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
9,"Curah hujan yang tinggi akhir-akhir ini membuat gang gedongan dan jalan pemuda sering mengalami banjir. memang banjir sudah sering terjadi di gedongan dan jalan pemuda, namun untuk waktu surutnya air biasanya tidak lama dan cepat. hanya saja beberapa hari kemaren, air di gang surut sangat lama. saya harap bisa segera dibenahi, karena di gang gedongan got/kali juga bersih karena rajin diadakan kerja bakti.",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA MOJOKERTO,  Banjir
0,"Saya hendak melaporkan banyaknya sampah yang menumpuk dan berjibun di pinggir jalan tol lingkar luar jakarta (jorr) km 47, bintara jaya, kec. bekasi barat, kota bekasi. tepatnya, di kampung caman, dekat pintu masuk tol kalimalang 1. sudah bertahun-tahun sampah menggunung dan tidak dibersihkan secara total. akibatnya, saluran kali menjadi tersumbat sampah dan berpotensi meninbulkan banjir manakala diguyur hujan deras. selain itu, bikin lingkungan sekitar tidak sehat, kotor dan menjadi sarang nyamuk demam berdarah.

mohon instansi terkait dapat segera melakukan pembersihan sampah dengan pengerukan memakai alat berat eskavator untuk percepat prosesnya. terima kasih",Dinas Lingkungan Hidup Kota Bekasi,  Pencemaran Lingkungan
1,"Dear kepala desa tanjung pasir
dear kecamatan teluknaga
dear dinas terkait

baru juga dihujanin semalaman sudah bajir apa lagi beberapa hari hujan..
akibat drainase saluran air yang tidak tertata dengan baik dan tidak adanya normalisasi kali yang ada khusus kali tanjung pasir

mohon ada tindakan dari dinas terkait.. 
warga kasihan ada yang kebanjiran",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Banjir
2,"Yang terhormat
bapak walikota bekasi
bapak camat kota baru bekasi.

tolong segera.dibantu,agar saluran air di daerah kami dapat diperbaiki.
tepatnya di jalan palem raya.
karena saat ini sudah musim hujan,dan air selalu banjir.
karena saluran air yg baru dibuat terlalu tinggi.


terimakasih saya ucapkan",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Infrastruktur Jalan
3,"Banjarmasin akhmad husaini#jl.padat karya mutiara i rt 57 no.15 bjm# ktp no : 6371050803750004,kepada yth ketua baznas kodya bjm,kalau ada programnya+dananya,tolong bantu saya tuk bedah rumah,yang tiap kec.,sudah ada dapat jatahnya,rumah saya kena dampak banjir,terasnya runtuh,wc rusak,perlu perbaikan",Badan Amil Zakat Nasional,  Topik Lainnya
4,"Assalamualaikum wr wb
selamat pagi bapak ibu sekalian. saya ingin menyampaikan aspirasi untuk membuat peraturan dan pedoman rumah memiliki lubang biopori untuk menyerap air hujan dari atap. ukuran lubang biopori tersebut minimal berdiameter 75 cm sedalam minimal 1.5 meter. jika air hujan dari atap setiap rumah di alirkan ke lubang biopori hal ini dapat mencegah banjir dan menjaga ketersediaan air tanah untuk generasi mendatang. dan bukan mengalirkannya ke got karena dapat menyebabkan banjir. saya berharap hal ini dapat di realisasikan dan di koordinasikan dengan pemerintah dan instansi terkait mengingat semakin menipisnya ketersediaan air tanah. terima kasih.
wassalamualaikum wr wb",Direktorat Jenderal Perumahan,  Permukiman
5,"Salam bapak walikota
bapak lurah
bapak camat

mohon bantuannya pak.
saat ini setiap hujan selalu banjir krn saluran irigasi baru yg tidak mengalir.
posisi gang palem 2 rt02/05.
medan satria

ini laporan kedua saya.



mohon dengan sangat bantuannya",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Infrastruktur Jalan
6,"Laporhendi perum plamongan hijau kota semarang, jumat sore 22/1/21 banjir tinggi. tolong dibantu untuk pompa poldernya. makasih",Dinas Pekerjaan Umum Kota Semarang,  Topik Lainnya
7,"Pak minta tolong pompa air banjir dinyalakan kita sebagai warga sudah terendam. minta tolong di bantu
terima kasih",Dinas Pekerjaan Umum Bina Marga dan Pematusan Pemerintah Kota Surabaya,  Banjir
8,"Jalan banjir, saluran mampet total. Biasanya tidak banjir. Sekarang kalau hujan sebentar saja bisa banjir dan lama sekali surut sehingga rawan dilalui kendaraan bermotor. Ditambah saluran yang tidak berfungsi dan pabrik yang tidak memperhatikan lingkungan dan suka mengganggu jalan karena forklift bolak balik.",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  SP4N-LAPOR!
9,"Rumah ini dibangun diatas got maka membuat banjir terus menerus pernah suatu hari ada balok kayu besar nyangkut di got tersebut dan membuat banjir dan merugikan tetangga
sering melarang anak-anak bermain didepan rumahnya maka jelas disitu adalah jalanan umum
sering membuat onar dengan tetangga dan menyindir orang-orang lewat facebook dengan bahasa kasar yang tidak sepantasnya
nama pemilik rumah tn.slamet istri ny.magdalena
komplek dpr ri pribadi joglo masjid quba jl.h muridun rt/rw 008/01
kelurahan joglo kecamatan kembangan",Pemprov DKI 2,  Pencemaran Lingkungan
0,Assalamualaikum warahmatulahi wabarakatuh ibu mohon ijin ibu apakah ada bantuan dari pemkot bjmkami warga di gang 2000 kelurahan pengambangan tdk ada bantuan yg merata kebanyakan tdk sampai ketempat warga kami.mohon bantuan ibu untuk bisa menyampai kan kepada pihak pemerintah terkait karna kesian org2 tua tdk dapat bantuan karna warga nya bertahan di rmh tdk bisa keluar karna banjir.,Kelurahan Pengambangan,  Topik Lainnya
1,"Ong untuk diperiksa lagi, diteliti lagi, di normalisasi lagi saluran air, irigasi ataupun selokan didaerah bojonegoro yang terdampak banjir pada saat inifenomena saat ini di bojonegoro sering dilanda banjir dan air menggenag diwilayah kota mungkin dikarenakan alirannya terhambat antara hulu dan hilir. tolbjn selamat siang.kepada dinas terkait, mari kita pelajari dulu untuk sifat dan pola air yang mengalir dari dataran tinggi ke dataran rendah. jadi untuk",Dinas Pekerjaan Umum Sumber Daya Air Kab. Bojonegoro,  Lainnya terkait Energi dan Sumber Daya Alam
2,"Mohon bantuan untuk pengerukan sampah di kali depan Griya Bekasi Permai Desa Telajung Kec. Cikarang Barat Kab. Bekasi Banyak sampah dan tanaman liar yg menghambat aliran air, kali juga sudah dangkal. Belum pernah ada tindakan baik dari aparat Desa maupun dari Dinas terkait.
Mengingat Griya Bekasi Permai termasuk yg rawan banjir, agar menjadi perhatian serius dinas terkait dan Aparatur Pemerintahan setempat",Dinas Lingkungan Hidup Kabupaten Bekasi,  Lainnya terkait Penanggulangan Bencana
3,"Nama : Idayah
Alamat : Morodemak RT 07 RW 04 , Bonang, Demak
No.HP : 085741094693

Aduan :
Banjir di Morodemak terjadi setiap hari mengakibatkan distribusi produk dari kelompak UMKM ""BONTONG (abon ikan tongkol)"" jadi tidak bisa lancar.
Mohon bantuan agar sungai di Morodemak dikeruk agar aliran air lancar dan bisa mengurangi banjir",Dinas Pekerjaan Umum dan Tata Ruang  Kab. Demak,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Nama : imron kholiq
Alamat : kembangan , bonang, demak
No.hp : 081229237391
Aduan :banjir di persawahan kembangan kec. Bonang menyebabkan tanaman petani mati. Kami mengharapkan bantuan pertanian dari pemerintah",Dinas Pertanian Pangan Kab. Demak,  Bantuan Pertanian
5,"Pak walikota
pak lurah
bekasi yang terhormat



saya warga di kelurahan harapan mulya,ingin info sejak saluran irigasi yang baru dibuat,daerah saya seelalu tergenang banjir,karena irigasi yang dibuat terlalu tinggi,dan air got dari dalam tidak bisa mengalir ke irigasi itu
diawal tahun lalu banjir menggenang selama 3 hari di 3 rt dan saat ini setiap hujan malah langsung banjir
mohon pak walikota.pak lurah dapat melihat dan memberikan tindak lanjut,agar kami tidak was was setiap kali hujan,karena air genangan selalu tinggi setiap kali hujan,dan air saluran got tidak bisa mengalir.




saya ucapkan terimakasih atas perhatiannya





z",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Infrastruktur Jalan
6,"Dengan hormat kepada bapak/ibu instansi terkait dan pihak pengembang terkait,

Dengan ini saya febryan ingin melaporkan, mengenai perumahan yang telah dibangun oleh pihak pengembang pt. Bangun triputra jaya (puri harmoni 10) yang berlokasi di klapanunggal, kabupaten bogor, dimana perumahan kondisi saat ini telah terbangun sekitar lebih dari 500 unit rumah. Namun sangat disayangkan, proses pembangunan dalam hal drainase tidak dapat dikatakan sesuai dengan ketentuan membangun pemukiman rumah yang ada. 

Telah terbukti ketika perumahan puri harmoni 10 diberi curah hujan tinggi, dari pemukiman blok a sampai dengan sekiranya blok c maupun d terkena banjir yang sampai memasuki beberapa rumah penghuni. Disini kita para penghuni dapat melihat aliran drainase kemana saja dan terbukti bahwa pihak pengembang terkesan seperti asal membangun drainase saja untuk demi mengejar waktu timeline proyek.

Dalam waktu yang lalu telah dilakukan musyawarah pihak penghuni (paguyuban) dengan pengembang, namun hanya mendapat janji dan tidak terlaksana sesuai pembicaraan dan kesepakatan.

Mohon kiranya instansi / departemen dapat membantu diberi peringatan atau teguran agar pihak pengembang bisa memperbaiki apa yang telah dibangun dan apabila peringatan / teguran bapak/ibu instansi / departemen terkait tidak digubris, mohon diproses sesuai hukum yang berlaku.

Demikian laporan yang dapat saya sampaikan, kurang lebih nya saya ucapkan mohon maaf.

Salam hangat,
Febryan",Direktorat Jenderal Perumahan,  Perumahan Bersubsidi dan Rumah Susun
7,Telah terjadi kerusakan jalan di wilayah desa sungai alang rt. 002/- kecamatan karang intan.. posisi jalan dekat dengan sungai martapura sehingga ketika debit air sungai martapura meningkat menyebabkan amblasnya jalan tersebut.. hal ini di perparah dengan tergenangnya air di seberang jalannya.. kami warga desa sungai alang sangat mengharapkan jalan ini agar segera diperbaiki..,Dinas Pekerjaan Umum dan Penataan Ruang Provinsi Kalimantan Selatan,  Infrastruktur Jalan
8,"Pak hendi, pompa2 harap dinyalakan, genuk indah air sudah tibggi (banjir)",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
9,Assalamualaikum warahmatullahibarkatuh.yth bapa  wali kota bapa wakil rakyat( kota banjarmasin kami warg jln vetran gg.5 rt 22 kelurahan melayu kecamatan banjar tengah banjarmasin kami warga terdampak  banjir tidak pernah mendapatkan bantuan apapun padahal kami warga sangat membutuhkan bantuan bapa bapa  kami warga mengucapkan terimakasih.,Badan Penanggulangan Bencana Daerah,  Topik Lainnya
0,"Laporhendi perum plamongan hijau kota semarang, selasa pagi 19/1/21 banjir. pompa polder masih belum nyala juga. tolong dinyalakan",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
1,"Laporhendi perum plamongan hijau kota semarang, selasa dini hari 19/1/21 sdh banjir tp pompa polder belum nyala. tolong dinyalakan",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
2,"Cluster ubud garden bekasi utara banjirrrrrsudah bertahun2 seperti in,rw sudah tau,developer sudah tau tapi janji palsu terkait penyelesaian jalur pembuangan air yang bermasalah dengan kampung sebelah ( pup sektor 5 ) saluran air cluster ubud di sumpel puing sama warga kampungdeveloper : duta putra landtolong ini warga cluster ubud sudah geram dan ingin bikin poster supaya tidak ada lagi orang yang tertipu dengan embel2 cluster tidak banjir",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Permukiman
3,Normalisasi selokan tidak merata di jalan prof.m.yamin (jalur kiri)dari persimpangan jln ampera sampai ke batas kota  jln.perdamaianyang saya perhatikan jalur kanan selalu di bersih kan oleh pihak terkait sedangkan jalur kiri hampir tidak pernah di sentuh oleh para pekerja padahal parit jalur kiri rawan banjir.serta kabel besar(saya lampirkan di foto)tidak teratur membuat sampah mudah sangkut dan membuat jalan air tidak lancar.mohon untuk dinas terkait agar menindak lanjuti.terima kasih,Dinas Pekerjaan Umum dan Penataan Ruang Kota Pontianak,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Permohonan saya agar sudi kiranya mau memperbaiki jalan desa. karena air nya di jalan tidak pernah kering. dan selalu tergenang air. dan juga saluran parit tidak ada. sehingga kalau hujan sedikit banjir dijalan.

lokasi : jl. rawa sakti barat lr. 10. jeulingke. sampai dengan tembus arah ke tengku melagu.",Dinas Pekerjaan Umum dan Penataan Ruang Kota Banda Aceh,  Jalan Berlubang
5,Banjar pak jokowi rumah saya juga terendam jua tilam kasur dan lainya saya keperluan itu dan lainnya abdurrahim desa makmur handil amutai rt 02 gambut kab banjar kec gambut kalimantan selatan tolong turun kelapangan pak jokowi makasih dulu,Kecamatan Gambut,  Topik Lainnya
6,"Yth. ibu walikota tanjungpinang
c.q. kepala dinas pekerjaan umum dan penataan ruang

di awal tahun 2021 kota tanjungpinang telah dua kali mengalami bencana alam berupa banjir. jika dilihat dari faktor penyebabnya, salah satunya adalah karena curah hujan yang sangat tinggi dan tidak dapat diimbangi oleh kemampuan saluran air atau sungai untuk mengalirkan air tersebut ke laut. berkurangnya kemampuan saluran air atau sungai tersebut jika dilihat lagi ternyata tidak lepas dari fenomena pasang air laut yang sedang tinggi sehingga meningkatkan ketinggian permukaan air di saluran atau sungai.

berdasarkan pengamatan saya, di tanjungpinang terdapat beberapa saluran air dan sungai yang terhubung dengan laut. tentunya hal ini menyebabkan terjadinya kenaikan permukaan air di saluran atau sungai saat terjadi pasang air laut. sebagai contoh pada siang hari ini 15 januari 2021 kira-kira pukul 11.30 wib, terjadi pasang air laut yang mengakibatkan terjadinya kenaikan air sungai di sekitar jalan raja haji fisabilillah tanjungpinang (dekat pondok santai). saat melakukan pengamatan selanjutnya di saluran air sekitar kantor cabang jne tanjungpinang, ternyata terjadi kenaikan permukaan air di saluran tersebut. hal ini menunjukkan adanya hubungan antara saluran tersebut dengan laut. jika terjadi hujan dengan intensitas tinggi, tentunya fenomena tersebut akan menghambat aliran air ke laut, khususnya di tengah la nina yang menyebabkan curah hujan lebih tinggi dibanding biasanya dan musim pasang air laut, tentu akan menimbulkan masalah, terbukti dari banjir yang terjadi dua kali di awal 2021.

menurut pemikiran saya, perlu dibangun pintu air yang dapat membatasi infiltrasi air laut ke perairan darat saat terjadi pasang. pintu tersebut dapat dibuka tutup, dimana saat musim hujan seperti sekarang dilakukan penutupan. air yang berada di sisi dalam pintu air tersebut kemudian dipompa keluar dengan mesin air dan pipa berdiameter besar sehingga mengurangi debit dan ketinggian air di sungai atau saluran. saat hujan turun, secara bersamaan dilakukan pemompaan air ke laut lepas. hal ini diharapkan dapat memberikan kemampuan lebih besar bagi sungai atau saluran air untuk menampung dan mengalirkan air. pembangunan pintu air tersebut diharapkan dapat berkontribusi terhadap penurunan risiko banjir di perumahan yang ada di kawasan jalan raja haji fisabilillah, misalnya cluster gesya atau perumahan di jalan kuantan. di kota tanjungpinang terdapat beberapa saluran air dan sungai yang terhubung dengan laut, perlu dilakukan pula kajian mengenai pembangunan pintu air di area-area tersebut.

adapun untuk mencegah banjir rob atau pasang air laut di beberapa titik lainnya di tanjungpinang, maka perlu dilakukan reklamasi dan pembangunan tanggul di wilayah pesisir yang memiliki potensi besar terdampak banjir pasang tersebut. untuk melaksanakan hal ini tentu tidak dapat dilakukan sendiri oleh pemerintah kota mengingat keterbatasan sumber daya, namun juga perlu berkoordinasi dengan pemerintah provinsi dan pemerintah pusat (kementerian pekerjaan umum dan perumahan rakyat - direktorat jenderal sumber daya air).

demikian yang dapat saya sampaikan, semoga berkenan menjadi bahan masukan ibu walikota dan jajaran pemerintah kota tanjungpinang dalam rangka perumusan kebijakan terkait penanganan banjir di kota ini.

terima kasih.

tanjungpinang, 15 januari 2021

warga kota tanjungpinang",Dinas Pekerjaan Umum dan penataan ruang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
7,"Telah terjadi airpasang besar sehingga menyebabkan pintu air jebol di gg. nelayan desa sungai nipah kecamatan jongkat, yang menyebabkan jalan masyarakat banjir dan memasuki rumah warga, mengganggu aktifitas masyarakat. mohon untuk di tindaklanjuti oleh dinas terkait.",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Mempawah,  Bendungan
8,"Di mohon kepada pihak bpbd kabupaten tabalong, di pahiliran banyu sdh mulai dalam dan banyu sdh limpas melewati tembok, tolong pihak yang berwenang suapaya bersiaga/membantu warga warga yang terdampak banjir.",Badan Penanggulangan Bencana Daerah Kabupaten Tabalong,  Penanggulangan Bencana
9,"Kami terjebak disini, hampir semua sepeda motor mogok dan stok-stok sembako disini sudah menipis termasuk gas lpg. air disini sdh sampai lutut, di semangat dalam sudah sampai paha kaki jadi kami tidak bisa menjalankan mobil maupun sepeda motor tolong untuk pemerintah dapat bergerak cepat!",Badan Penanggulangan Bencana Daerah Kab. Barito Kuala,  Banjir
0,"Rumah saya roboh kena longsor ,,kp paniisan rt 02 rw 06 desa karangpawitan kec karangpawitan,,kejadian sekitar bulan maret april 2020 ,tapi sampai sekarang 2021 bantuan logistik tidak ada,,kenapa dan kemana,,kok sampai sekarang tidak ada penanggulangan sama sekali",Badan Penanggulangan Bencana Daerah Kabupaten Garut,  Topik Lainnya
