report,unit
"Yth. Kementerian Dalam Negeri,

Beberapa hari sebelumnya, KTP-el saya hilang karena dompet saya dicopet. Saya pun berniat untuk membuat kembali KTP-el tersebut. Pertama-tama, saya pergi ke kantor polisi untuk membuat surat kehilangan. 

Pada 30 Desember 2014, saya pun pergi ke kantor Kecamatan Plaju Ulu, Kota Palembang, Provinsi Sumatera Selatan yang beralamat di Jalan DI Panjaitan. Saat saya menanyakan bagaimana tahapan pembuatan KTP-el yang hilang, petugas kecamatan menyakan bahwa KTP-el tidak bisa dibuat lagi dengan alasan sekali seumur hidup.

Saya pun menanggapi, ""Apa tidak bisa jika melakukan duplikasi ulang dari data yang sudah ada sebelumnya?"" Ia menjawab ""Tidak bisa."" Cukup lama saya berdebat di kantor kecamatan tersebut, namun akhirnya saya tetap tidak bisa membuat ulang KTP-el saya.

Hal yang ingin saya tanyakan, apakah benar jika KTP-el hilang tidak bisa dibuat kembali? Bagaimana mungkin bisa seperti itu? Kalau yang bernasib seperti saya (kecopetan), data dirinya sebagai warga Indonseia apa jika tidak bisa melakukan pembuatan KTP-el ulang?

Saya mohon informasinya agar saya bisa membuat ulang KTP-el saya. Terima kasih.",Kementerian Dalam Negeri
"Yth. Kepolisian RI,

 Mohon perhatian Kepolisian untuk mengontrol daerah sekitar wilayah lampu merah sebelah RS Atmajaya dikarenakan rawan penjambretan di daerah tersebut. Minggu ini saja sudah terjadi tiga penjambretan ditempat yang sama. Hormat saya Sri Susilowati karyawan RS Pluit, mohon ditindaklanjuti. Terima kasih.",Kepolisian Negara Republik Indonesia
"Yth, Kepolisian Republik Indonesia,

Saya ingin melaporkan kejadi pencopetan HP Samsung Galaxy Mega yang terjadi di salah satu bus TransJakarta.

Kejadian copet tersebut terjadi pada hari Selasa tanggal 11 November 2014 pada pukul kurang lebih 11.00 WIB.. Saat itu saya menaiki bus lama jurusan Pulogadung berwarna biru, dari halte Harmoni dan berhenti di halte Senen.. 
 Saya baru sadar kejadi tersebut, setelah saya telah turun di halte Senen tetapi busnya telah jalan. Jadi saya sudah tidak bisa mengejar pencopet/pencurinya lagi. Namun, disini saya punya saksi seorang bapak pegawai kantor, yang pada saat itu menyadari dan mengambil foto kejadian sebelum saya dicopet. 

Tapi kenapa bapak saksi ini tidak bertindak kepada saya? Ya karena bapak ini juga pernah dicopet sama pencuri yang sama dan sebelumnya sudah dikode keras sama pencopet tersebut agar tidak bertindak sembarang. Hal ini jelas menunjukkan bahwa pencopet tersebut sudah melakukan tindakannya berkali-kali. Setelah berhari-hari, saya tetap keep contact sama bapaknya. Dan bapaknya memberi tahu kepada saya kalau sudah ada korban lagi seorang ibu-ibu yang kecurian hp Samsung S5, seorang bapak kantoran, dan seorang turis. Sudah berapa banyak korban dan sebara banyak lagi korban yang akan ada jika pencopet tersebut di biarkan? Sangat sedih memang rasanya ketika melihat pencopet yang saya tahu masih dengan bebas dapat mencuri hp-hp para korban lainnya.

Kejadian ini sudah lama beberapa minggu. Jadi dengan laporan ini, saya meminta kepada pihak kepolisian dan pihak TJ serta pihak lainnya yang terkait, agar dapat dengan tegas menindaklanjuti agar tidak ada lagi kasus pencopetan di TransJakarta. Karena bapak yang bersaksi pernah bilang kepada saya, kalo beberapa pencuri pernah ditangkap dan dibawa ke kantor polisi. Namun pencuri tersebut tetap dapat lolos karena ada bosnya jadi mohon agar diberantas juga sampai dalangnya. Mohon tindak lanjutnya. Terima kasih.",Kepolisian Negara Republik Indonesia
Tlon kpda pmerintah kmi mhon  pngwasan yg lbih baik lg kl pngambilan uang kompensasi BBM bgi pmegang hrus mnujukan KK dan KTP soalny bnyk warga mngambil uang pke kartu orang lain krna ptgas cma mlihat kartu KPS nya sja tdk di mnta mnujukan KTP  pdhal bnyak warga yg resah krna kartuny bnyak yg hlang kdang jga di ambil pra pncopet mhon prgtianya kpda pmrntah trmksh ini trjdi di daerah belik pemalang jateng,Kementerian Sosial
"Yth, Kepolisian RI,

Saya ingin memberikan masukan terkait masalah kriminalitas di atas transportasi publik yang sangat mengkhawatirkan di DKI Jakarta ini. Para pencopet selalu bekerja bergerombolan biasanya ber-4 diatas angkutan umum, dengan modus mereka yang sangat rapi namun mudah terdeksi. Mohon pihak kepolisian dapat memperketat pengamanan terkait hal ini karena moda transportasi publik merupakan sarana yang vital untuk masyarakat untuk beraktivitas. Sarana transportasi yang aman dan nyaman dapat mendorong masyarakat untuk menggunakan moda transportasi publik ini.

Mohon tindak lanjutnya. Terima kasih.",Kepolisian Negara Republik Indonesia
"Kepada Yth Pemprov DKI Jakarta, kami ingin melaporkan sejak diterbitkannya memo dari Pemprov DKI Jakarta mengenai tidak lagi diijinkannya adanya pedagang serta warung pada badan jalan. Kondisi keamanan tersebut menjadi rawan kejahatan dan semakin tidak aman, terutama di Jalan Cilamaya, dimana tidak ada portal dan pos kemanan yang justru berada jauh dari daerah yang rawan.  Hal ini sendiri sudah memberikan saya kerugian setidaknya dua kejadian yaitu spion mobil yang dipatahkan dan banyak kejadian lain seperti pemalakan, pencopetan, dan lain-lain. Terutama pada malam hari, tentunya hal tersebut sangat menganggu.  Mohon setidaknya agar ada penambahan lampu penerangan di kedua jalan tersebut dan daerah sekitarnya serta inovasi lain untuk membantu pengamanan di kawasan tersebut. Terima kasih.",Dinas Perindustrian dan Energi
"Yth. Kepolisian RI,
Saya ingin melaporkan tindak kriminal pencopetan di jembatan penyeberangan orang Halte GBK karena susah menghubungi polisi (call center 112 tidak bisa dihubungi). Ada komplotan pencopet yang sering beraksi di sana. Modusnya selalu sama, yaitu mengelilingi targetnya oleh beberapa orang dan tiba-tiba menjambret. Kemudian, lari menggunakan kopaja. Pada tanggal 6 September 2014, saya melihat lagi komplotan ini hampir beraksi. Sayang waktu saya mau rekam aksinya tiba-tiba mereka lari. Saya pernah hampir jadi korban dan sepertinya jika tidak tertangkap ini bisa beraksi terus. Mohon ditindaklanjuti. Terima kasih.",Kepolisian Daerah Metro Jakarta Raya
"Yth. Kementerian Perhubungan RI.

Yth. Kepolisian RI.

Di bus malam dari Jakarta ke Merak dan dari Merak ke Jakarta, setiap malam selalu ada copet dan selalu 3 orang. Bila sudah berhasil mereka langsung minta turun. Mohon untuk menjadi perhatian penumpang. Semua bus malam Jakarta ke Merak dan sebaliknya tolong dipasangi stiker “awas copet”. Ini nomor HP penanggung jawab 081212767541, para korban melapor tidak ditanggapi.

Terima kasih.",Direktorat Jenderal Perhubungan Darat
"Yth.Kepolisian Republik Indonesia,

Saya melaporkan telah terjadi pencopetan di arena PRJ Expo Kemayoran. Hari Sabtu, 5 Juli 2014 pukul 20.30. Pencuri berhasil mendapatkan dompet hitam berisi KTP a.n Haikal Hibatul Haq. No. laporan kepolisian 81/B/VII/2014/Sek.Kmo. 
Saya berharap kasus ini dapat diperhatikan oleh pihak kepolisian.
Mohon ditindak lanjuti. 

Terima kasih",Kepolisian Daerah Metro Jakarta Raya
"Yth. Kepolisian Republik Indonesia

Saya ingin melaporkan bahwa tindak pencopetan di dalam bus umum yang tidak kunjung hilang dan makin marak. Saya pernah mengalami hal ini hingga 2 kali. Saya merasa resah dan tidak nyaman menggunakan transportasi umum, seperti bus. 

Pada kejadian ke-2(terjadi di metromini P15 Senen-Setia  Budi) saya dengan rasa putus asa datang melapor ke kantor polisi supaya ini menjadi catatan & temuan bagi polisi. Namun, polisi yang bertugas hanya membuat surat kehilangan. Padahal yang saya tahu, setiap ada laporan polisi harus membuat semacam surat laporan. Berdasarkan informasi dari polisi yang bertugas tersebut dikatakan bahwa pihak kepolisian melakukan patroli, tetapi hanya di malam hari. Sedang dari keterangan orang lain dan yang saya alami sendiri justru tindak pencopetan terjadinya di pagi dan siang hari.

Harapan saya dan mewakili warga yang lain supaya ada siasat dari pihak kepolisian untuk  mengurangi tindak pencopetan tersebut dengan menurunkan personilnya baik di pagi dan siang hari juga. 
Jika polisi seharusnya dapat menyamar dan ikut masuk ke dalam bus-bus yang penuh sesak karena mereka biasa beraksi pada bus-bus yang penuh sesak seperti yang saya alami.


Semoga informasi ini bisa menjadi perhatian dari pihak kepolisian. Mohon ditindaklanjuti.

Terima kasih",Kepolisian Negara Republik Indonesia
"Assalamulaikum kang emil,Punteun mung bade ngadugikeun saran wungkul, supados ditindaklanjut kasus-kasus geng motor dibandung utamana ka barudak anu masih di SMP sareng SMA, ningal na hawatos masih aranom tapi kengeng ku hasutan-hasutan gaul anu teu jelas sapertos kitu, kumargi seueur ayeuna mah kasus jiga kitu, komo deui aya anggota geng anu anu orang tua na pejabat militer sapertos TNI sareng Polisi, supados calon-calon penerus engke na henteu kacandak ku anu teu puguh. Sareng transportasi di bandung oge seueur kasus anu prihatin kang emil sapertos copet sareng hipnotis, pami tiasa mah di no urut sapertos pesawat supados nyaman sareng keamanan oge kedah janten perhatian langkung kang. Diantos tindak lanjutna kang.Hatur nuhun kang, Bandung Juara !!!",Satuan Polisi Pamong Praja Kota Bandung
"Kepada Yth Pemprov DKI Jakarta
Ingin melaporkan Pelayanan Busway yang tidak nyaman.Saya sudah 2 kali kecopetan di busway karena kondisi halte dan bus yang sangat ramai, kedatangan bus yang lama, fasilitas penerangan yang mendukung aksi kejahatan, dan kurangnya petugas yang berada di bus ataupun di halte. Kalau terus seperti bagaimana bisa mewujudkan Transportasi massal yang diimpikan bersama.Mohon perhatiannya,terima kasih.",Badan Layanan Umum Transjakarta
"Minta tolong kepada yang berwenang untuk sering diadakan razia supir angkot tembak,yang tidak punya ijin mengemudi,karena sering kali jika naik angkot jurusan buah batu-kebon kelapa (Bandung),tukang/sopir angkot suka sekongkol dengan para copet yang berpura-pura jadi penumpang, bahkan banyak supir yang mengendarainya sambil mabuk, mohon pertolongannya, terima kasih atas perhatiannya.",Dinas Perhubungan Kota Bandung
"Kepada Yth, pemerintah kota Bandung--wabil khusus Pak Ridwan Kamil.

Baca berita ini dan tindaklah kejahatan ini (sekarang pencopet udah berani nglawan dan malah ngejar korban, sungguh aneh. Gak ada yang mau nolongin pula.):
http://bilt4blog.wordpress.com/2012/02/03/waspada-yaa-teman-teman/",Satuan Polisi Pamong Praja Kota Bandung
"Pasar Baru sarang copet, mohon ditindaklanjuti seperti di Tanah Abang Jakarta",Perumda Pasar Juara Kota Bandung
"Kepada Yth. Pemerintah Provinsi DKI Jakarta, saya ingin bertanya apakah bis umum dapat seperti bis di korea atau Jepang atau diganti dengan bis transjakarta tapi rute bis umum? menggunakan pintu otomatis dan banyak bangku, karena di bis umum sering terjadi kecopetan, membuat tidak nyaman maka itu banyak mobil di jalan.
Jakarta masih ada orang yang berbuat untuk merugikan orang lain. Mohon Penjelasan dari dinas terkait, terimakasih.",Dinas Perhubungan
"Saya ingin melaporkan, Tolong keamanan di seluruh Bus Transjakarta ditingkatkan karena mulai banyak pencopet yang masuk. Terima kasih.",Badan Layanan Umum Transjakarta
"Yth. Pengelola Jamkesmas,

Saya punya kartu Jamkesmas, tetapi hilang karena kecopetan. Kini saya hanya memiliki fotokopinya. Saya sudah lapor polisi dan diberi surat keterangan. Untuk berobat, ternyata tidak bisa memakai fotokopinya. Bagaimana cara mengganti kartu Jamkesmas yang hilang tersebut? Ke instansi mana saya harus mengurusnya?

Terima kasih.

(Suciati Sudiharsa, Kemayoran)",Kementerian Kesehatan
"Kopaja AC p20 Lebak Bulus - Senen tidak menghargai dan rawan tindak pencopetan.
Yth. Pemprov DKI Jakarta
Saya ingin mengadukan perihal Kopaja AC P20 Jurusan Lebak Bulus - Senen, bernomor polisi B7432NP, yang saya naiki pada hari Kamis, 17 Oktober 2013 sekitar pukul 17.10 WIB. Di Kopaja AC tersebut, kondisi penumpang sudah sangat penuh, bahkan untuk berdiri saja susah. Namun, kondektur tetap memaksakan penumpang dari luar masuk dan memaksa penumpang dari dalam kopaja untuk bergeser ke dalam. Praktis para penumpang marah-marah kepada kondektur Bukannya meminta maaf, supir malah ikut2an menyuruh kondektur mengembalikan uang ke salah satu penumpang agar segera menurunkan penumpang yang protes tersebut.

Disaat saya dan penumpang lain lengah,ternyata ada pencopet yang beraksi mencopet dompet saya dan mungkin dompet para penumpang lain. Saya baru menyadari dompet saya hilang saat turun di halte busway Patra Kuningan. Saya jadi curiga apakah ada kerjasama antara supir, kondektur dan pencopet tersebut. 

Padahal menurut info yang saya baca di infojkt.com,menurut Kepala Dishub DKI Jakarta, para supir kopaja AC digaji 2 juta rupiah sebulan. Kenapa masih seperti itu perilakunya? Mohon dengan sangat agar Dishub DKI Jakarta menindak hal ini, agar tidak erjadi lagi keresahan penumpang di Kopaja P20 AC. terima kasih",Dinas Perhubungan
"Kepada Yth. Pemprov DKI Jakarta. saya sudah tiga kali melihat pemandangan yang mengerikan di jembatan penyeberangan busway. Penyergapan seseorang dengan modus seolah-olah ada barang jatuh. Lalu si korban disergap oleh tiga sampai empat orang. Si korban tidak tahu kalau sedang dikelilingi oleh kelompok pencopet. Saya tidak berani berteriak memberi tahu, karena kelompok pencopet yang jumlahnya empat orang bukan tidak mungkin kalau saya berteriak akan berbalik menyerang saya. Karena saya pengguna jembatan penyeberang tiap hari, jadi dari pemantauan saya, setiap mereka berhasil melakukan operasinya, kira-kira 2 minggu mereka tidak ada di sekitar tempat kejadian (seperti rolling). Melalui media ini saya menghimbau agar jembatan penyeberangan di Jakarta ditingkatkan keamanannya. Mohon tindak lanjutnya. Terima kasih",Badan Layanan Umum Transjakarta
"Saya ingin melaporkan saya sebagai pengguna angkutan umum kopaja 19 trayek Ragunan ke tanah abang, di situ banyak pencopet ya, mohon tangkap ya, karena saya sebagai perempuan merasa sangat was-was dan selalu merasa curiga bahwa penumpang yang ada di samping saya, adalah copet. Mohon segera ditindak lanjuti. Terima kasih.",Dinas Perhubungan
"Yth Pemprov DKI jakarta, tolong turunkan ongkos k 56 jurusan cawang cileungsi dari 6000 menjadi 5000, angkot 121 jurusan kp rambutan cileungsi dari 7000 menjadi 5000 karna mereka telah menaikkan ongkos secara sepihak sejak lebaran 2012 dari 4000 menjadi 5000 tanpa persetujuan dishub dki dan perda pemprov dki, padahal saat itu bbm dan tarif tol tidak naik, kini bbm naik maka kenaikan ongkos 20%-30% sesuai peraturan pemerintah dan daerah, kalau di hitung ongkos 4000 * 20%-30% = 5000 bukan 6000 dan 7000, mohon diwujudkan demi kepentingan umum hajat hidup orang banyak bukan kepentingan properti walau disana ada perumahan mewah seperti kota wisata, citra grand, raflesia, kota legenda, cikeas, masih banyak masyarakat disana hidup miskin dan melarat, tolong di pertimbangkan dan ditindak lanjuti, kenapa sih cuma preman saja yg di berantas, kok copet tidak diberantas, padahal mereka meresahkan masyarakat sampai ancaman pembunuhan di angkutan umum, di terminal, di jalanan di berbagai wilayah dki jakarta, tolong di tindak lanjuti. Terima kasih",Dinas Perhubungan
"KPS 3776P914120A05 saya pulang dari rumah sakit cipto saya ke copetanan di metro mini di dlm dompet ktp,kartu jakarta sehat anak saya ,sama kartu perlindungan sosial saya hilang bagaimana cara buat lagi kartu perlindungan sosial dan tolong gimana saya harus melapor , kejadiannya kemaren sore pulang dari RSCM cipto (sri agustin riani).
RUSUN DKI  BLOK C LT 3 RW 003 RT 015, SEMPER BARAT, CILINCING, JAKARTA UTARA",Kementerian Sosial
KPS Ass. Mohon maaf pa sy kecopetan trus kps sy jga kena. Gimana cara ngurusnya kembali...?,Kementerian Sosial
"KPS ,Bpk,ibu yg trhormat,krt KPS hilang kecopetan, sy sdh lapor kekelurahan stmpt,kepolisian.namun sy mash gak bisa ngambil,gamana jalan solusinya,atas nama HERI SAFIK,Jln imam bonjol gang satria no 48 rt 01 segala mider tanjung karang barat b.lampung.",Kementerian Sosial
KPS kartu kps kami kecopetan.dan sampai saat ini belum ada yg mengembalikan. Ada tdk kebijakan dari kementrian sosial? Trims,Kementerian Sosial
KPS 376e161430A00 kartu saya hilang kecopetan Noldy Yani Elean,Kementerian Sosial
KPS Bagaimana solusinya kalo kartu kps kecopetan dan saya sudah lapor ke kepolisian untuk mengambil pencairan bagaimana ?,Kementerian Sosial
"Kepada Yth, Pemprov DKI Jakarta. Saya ingin melaporkan, bahwa banyak sekali copet berkeliaran di bus 43 jurusan Cililitan - Tanjung Priok, perilaku mereka sangat meresahkan penumpang, saya diancam akan dibunuh. Mohon ditindak lanjuti, Terima kasih",Dinas Sosial
"KPS 36620830000005.GIMANA SEANDAINYA KARTU KPS YG ASLI KECOPETAN,APA MSH BS MENGGUNAKAN FASILITASNYA.EN BGMN CARANYA.THANKS.",Kementerian Sosial
"KPS kartu kps saya hilang,saya terkena musibah dompet saya kecopetan,pada siapa kah saya harus bertanya,dan bagaimana.
Apakah saya masih bisa menerima kps lagi.",Kementerian Sosial
"Yth. Pemprov. DKI Jakarta, demi keamanan penumpang angkutan umum kami memohon pemerintah Tertibkan para Pencopet yg sering beraksi di Bus Mayasari Bahti 57 Blok M-Pulogadung,tindakan mereka sangat meresahkan penumpang tidak dapat berbuat apa apa karena mereka biasanya 3-5 orang atas perhatiannya kami ucapkan terimakasih. Ny.Nur Cahaya",Dinas Perhubungan
KPS 39jjke40291A09 Rumah tangga di daerah saya kartu KPS nya hilang di copet,Kementerian Sosial
Kps kartu kps saya hilang akibat kecopetan saat lebaran jd saya tidak dapat mengunakannya lagi. Saya hanya berharap kebijakan pemerintah saat ini atas nama sahdi,Kementerian Sosial
KPS Kartu KPS saya hilang kecopetan saya gak ingat nomer KPS saya.,Kementerian Sosial
"KPS 39o42m16431A04 yang terhormat KPS sy hilang kecopetan bagaimana cara mngurusinnya,dan  bagaimana sy mendapat hak sy kem bali? Saya sangat mngharap konfirmasi dr pihak BLSM, saya uncapkan trimakasih. # RO BIN  P SIAHAAN.",Kementerian Sosial
"Selamat siang saya ingin melaporkan mengenai kenyamanan Bus Transjakarta. Tolong dibasmi copet di Bus Transjakarta dan Halte Bus Transjakarta, karena sudah meresahkan para penumpang. Mohon secepatnya ditindak lanjuti. Terima kasih.",Badan Layanan Umum Transjakarta
"Kepada Yth Pemprov DKI Jakarta, saya warga Grogol Jakarta Barat. Tolong diberantas para pencopet di bus 91 jurusan Grogol - Batusari. Saya baru kecopetan kemarin sore jam 6. Saya lapor polisi terdekat tidak ada tanggapan. Kita warga DKI merasa tidak aman naik kendaraan umum sekarang. Mohon perhatiannya. Terimakasih.",Dinas Perhubungan
BBM ada pencopetan di pom bensin! Jaga negara supaya lebih baik,Tim Sosialisasi Kebijakan Penyesuaian Subsidi BBM
Yth. Pemrov DKI Jakarta. Mohon agar pelayanan Transjakarta dapat ditingkatkan. Perhatikan fasilitas untuk keamanan dan kenyamanan penumpang. Masih namyak didapati banyaknya copet dan petugas yang acuh. Terimakasih,Badan Layanan Umum Transjakarta
"Yth. Pemprov DKI. 
Saya mau lapor mengenai keamanan di bus dan halte bus Transjakarta. 
Saya sudah 2 kali kecopetan handphone di Koridor 1 (Blok M - Kota), bus Transjakarta.
Kejadian pertama : saya naik busway dari Bundaran HI ke arah Kota, di dalam busway ada dua orang yg mendesak-desak saya, padahal penumpang tidak penuh, dan ketika mereka berdua turun (di Halte Sarinah kalau tidak salah), handphone di kantong celana saya sudah hilang.
Kejadian kedua : saya mau naik busway dari Gajah Mada ke arah Blok M. Ketika menunggu bus datang (menunggu di halte), ada satu orang di belakang saya dengan tas di depan tubuhnya, mendesak-desak saya. Memang saat itu penumpang banyak dan antrian penuh. Ketika saya berhasil naik ke bus, handphone di kantong celana saya sudah hilang. (Orang tsb. tidak naik ke dalam bus).

Ketika saya lapor ke petugas di halte busway, petugasnya tidak tahu apa yg harus dilakukan. Jadi percuma lapor ke petugas busway.

Mohon keamanan di halte maupun dalam bus ditingkatkan, misalnya dengan menempatkan personel dari pihak kepolisian.
Mohon dibuatkan mekanisme pengaduan/laporan mengenai kejadian kriminal di halte maupun dalam bus Transjakarta, sehingga petugas bisa menangani kejadian seperti ini.
Terima kasih sebelumnya.",Badan Layanan Umum Transjakarta
"Sekarang makin banyak pencopet kambuhan di Busway. Beberapa juga tertangkap, masalahnya masyarakat seringkali tidak mau memperpanjang urusan dan memberikan keterangan di Polisi (buang-buang waktu menurut mereka). Hukuman yang diterima pencopet hanya dikeluarkan dari Busway. Apakah bisa dipertimbangkan hukuman agar pelaku difoto dan hasil fotonya ditempel di halte busway, untuk mencegah terjadinya kasus serupa berikutnya?",Badan Layanan Umum Transjakarta
"Yth. Pemprov DKI Jakarta. Saya kemarin pagi kecopetan di halte busway harmoni, saya sungguh kecewa dengan keamanan busway dan sikap para petugas yang sepertinya tidak mau peduli dengan keadaan saya. Mohon untuk ditingkatkan masalah keamanan dan kenyamanan bagi para pengguna busway. Terimakasih.",Badan Layanan Umum Transjakarta
"Yth. Pemprov DKI Jakarta, mohon lampu di jembatan busway Bendungan Hilir diperbaiki karena sejak tahun lalu mati. Kalau malam gelap, rawan copet karena ramai dan banyak pedagang. Terimakasih",Dinas Perindustrian dan Energi
"Selamat siang. Saya ingin mengajukan keluhan. Preman dan pengamen di Jakartasangat meresahkan terlebih di daerah Melawai. Mereka mencopet, memaksa bahkan melakukan pelecehan kepada penumpang. Hal ini membuat penumpang merasa tidak nyaman dan tidak aman untuk naik angkutan umum seperti metromini atau bis kota. Apakah Pemerintah Provinsi DKI Jakarta dapat membuat pengamen-pengamen ini diciduk secepatnya dan diberi penyuluhan?",Satuan Polisi Pamong Praja Provinsi DKI Jakarta
"Pelayanan bus Transjakarta yang buruk

Saya adalah seorang karyawan swasta yang bekerja di Tanjung Priok. Hampir setiap pagi selama 9 bulan ini saya menggunakan bus Transjakarta koridor 10 jurusan PGC-T.Priok, karena rumah saya berada tidak jauh dari halte BKN, satu halte setelah PGC.

Selain dengan bus Transjakarta, alternatif lain untuk menuju T, Priok adalah menggunakan PPD nomor 43, namun dengan kondisi yang cukup mengerikan (menurut saya). Mengerikan karena,1. bus tersebut menaikkan dan menurunkan penumpang dalam waktu sepersekian detik dan tidak dipinggir jalan 2. kapasitas yang terlalu dipaksakan oleh kernek. Bus juga  bisa miring ke satu sisi karena jumlah penumpang yang banyak, dan penumpang juga memaksa untuk masuk karena tidak bisa mengandalkan bus Transjakarta koridor 10, dan terkenal dengan PPD yang berisi copet2. 

Meskipun jumlah PPD tersebut lebih banyak daripada bus Transjakarta koridor 10, saya tetap menggunakan bus TJ koridor 10 tersebut dengan alasan safety. 

Keluhan saya adalah  antara jumlah bus TJ yang kurang atau penjadwalan (sistem management) yang tidak baik. Jumat, tanggal 1 Maret, saya menunggu busway kurang lebih 45 menit sehingga saya sangat sangat terlambat. Penumpang yang lain juga sudah terpancing emosinya dan menurut saya hal tersebut sangat wajar. 
Hal ini tidak terjadi sekali saja, hampir setiap minggu terjadi 2-3 kali.
Begitu juga ketika pulang. Sering kali tidak tersedia Bus TJ dari Tanjung Priok dan menyebabkan halte ticketingnya di tutup.

Yang hampir terjadi setiap hari adalah, bus TJ yang kapasitasnya penuh sekali mulai dari PGC-UKI, dan setelah itu penumpang tidak bisa masuk lagi dari halte setelah UKI. Penumpang yang naik dari halte stasiun Jatinegara (cukup banyak)sudah dilewatkan berkali-kali oleh bus TJ sehingga menumpuk dan begitu selanjutnya.

Saya juga bingung dengan polisi di sepanjang jalur koridor 10 yang tidak pernah membantu, bahkan terkesan membiarkan mobil yang lewat tepat di depannya untuk masuk jalur busway. Apakah pihak Polantas tidak bisa ikut membantu mengatasi mobil2 ini untuk memasuki jalur busway?

Saya miris dengan negara ini. Disaat masyarakat sudah berpartisipasi menggunakan transportasi umum untuk mengurangi kemacetan, saya merasa pemerintah tidak menanggapinya dengan maksimal. Saya juga miris ketika macet2an dan bersempit2an menggunakan bus TJ, dan saya menengeok keluar, depan, belakang, dan samping saya dipenuhi oleh kendaraan2 pribadi yang hanya berisi seorang setiap mobil. Apakah tidak punya hati lagi untuk bersabar sehingga masuk jalur busway??

Saya tidak hanya kecewa dengan pemerintah, namun juga warga2 bermobil yang masuk ke jalur busway yang tidak menghargai perjuangan warga yang lain untuk mengurangi kemacetan.

",Dinas Perhubungan
"Selamat sore Pak, tolong cari solusi soal keterlambatan bus Transjakarta jurusan Monas/Harmoni - Ragunan dan sebaliknya, karena kami menunggu sangat lama, ada pula bus yang kosong malah jalan saja, padahal penumpang sudah banyak yang ngantri. Jadi telat tiba di kantor dan kemalaman tiba di rumah. Adapula penumpang yang main dorong-dorongan, sampai ada yang kecopetan. Tolong petugasnya diperketat, dan kalau bisa ada petugas bagian pemberitahuan untuk kedatangan bus pada setiap jurusan. Terima kasih.",Dinas Perhubungan
"Kendaraan penumpang tipe kopaja mengeluarkan asap yang sangat menganggu pengguna jalan. Ditambah lagi dengan supir kendaraan yang selalu ugal-ugalan. Kopaja jurusan Lebak Bulus - Blok M juga rawan copet.
Kapan ada rencana Pemerintah Provinsi DKI Jakarta untuk meningkatkan pelayanan angkutan umum? Jika banyak copet dan rawan kejahatan, bagaimana warga mau beralih ke angkutan umum?
Terimakasih.",Dinas Perhubungan
"Pak saya mau minta tolong agar pihak pemerintah mengupayakan pembersihan tukang copet, diseputar/disekitar Jakarta (khususnya CITRA LAND,GROGOL,SLIPI DAN TEMPAT PERBELAJAAN). Saya sudah menjadi korban berkali-saya sudah extra hati-hati, tapi rupanya ""mereka"" punya TEAM WORK. Saya dengar mereka bekerja sama dengan beberapa orang salah satunya dengan supir dan kenek. Terakhir jam 18.30 DI LAMPU MERAH SLIPI PERTAMBURAN KEJADIAANNYA DI DALAM KOPAJA 88 JURUSAN TANAH ABANG-KALIDERES. Tapi semua  penumpang diberhentikan di LAMPU MERAH SLIPI PERTAMBURAN. Saya sangat bersyukur kalau laporan saya ini segera ditindak lanjuti secepatnya, karena saya yakin KORBANNYA BUKAN SAYA SAJA. Teman saya juga baru kecopetan di PASAR TANAH ABANG, baru-baru ini. Terima kasih.",Dinas Sosial
