,report,unit
6,"Yth. Pemerintah Provinsi DKI Jakarta,

Saya Somad, beralamatkan di Pulau Kelapa, Kepulauan Seribu. Ingin melaporkan bahwa ketika terjadi kebakaran di lingkungan sekitar, masyarakat sangat membutuhkan alkon sebagai penyemprot.

Alkon adalah mesin diesel penyedot air yang juga bisa digunakan menyemprot.

Mohon diterima aspirasi kami.
Terima kasih.",Pemerintah Provinsi DKI Jakarta
7,"Kepada Yth. Pemprov DKI Jakarta,

Kami melaporkan dengan maraknya keberadaan rumah kosong tidak berpenghuni di sekitar Jakarta, dimohon Pemprov dapat memberikan perhatian dan melakukan pendataan terhadap kepemilikan rumah tersebut, karena sering dijadikan tempat untuk berbuat kriminal oleh oknum yang tidak bertanggung jawab dan mengorbankan rumah-rumah disebelahnya (termasuk pencurian dan kebakaran)  Mohon pemprov DKI dapat memberikan solusi terbaik untuk kemanan dan kenyamanan warga DKI  Atas bantuan, perhatian dan atensinya kami ucapkan terima kasih.",Dinas Pengawasan dan Penertiban Bangunan
8,"Kepada Yth.Pemprov DKI Jakarta,
Mohon konfirmasi mengenai harga kios baru di Pasar Senen Blok III. Saya pedagang korban kebakaran blok III Pasar Senen,mendapat surat edaran yang harus ditanda tangani, adapun edaran itu berisikan surat pernyataan yang dibuat oleh PD Pasar Jaya Senen. Kalau ini benar adanya,kami mohon kebijaksanaan dari PD Pasar Jaya Senen untuk meninjau kembali tentang harga tersebut, kami pedagang kecil merasa harga tersebut terlalu mahal dan sangat memberatkan kami sebagai korban kebakaran. saya lampirkan link tentang pernyataan gubernur Jokowi atas kebijaksanaan tentang pasar senen setelah kebakaran.   https://id.berita.yahoo.com/3-keputusan-jokowi-bagi-pedagang-pasar-senen-0[***************]2.html Mohon ditindak lanjuti. Terima kasih.",PD Pasar Jaya
9,"Pemadaman listrik di Sumatera Utara khususnya di MEDAN sudah berlangsung setahun ini. Hal ini juga yg menyebabkan warnet kami tutup karena kehilangan pelanggan dan peralatan komputer kami rusak, selain itu peralatan elektronik juga rusak seperti kulkas, dan tv, belum lagi korlseting listrik saat listrik nyala shg menyebabkan kebakaran di berbagai tempat, atau kebakaran yg disebabkan oleh lilin karena pemadaman listrik. Selain itu kerugian bisnis yg sangat mengandalkan listrik, shg terpaksa kehilangan pelanggan atau tutup saat listrik padam, dan juga tambahan pengeluaran untuk beli genset dan bensin saat listrik padam. 
Itu semua kerugian yg dialami oleh masyarakat medan. Pemadaman bergilir selama ini terjadi setiap hari, dalam sehari terjadi paling minimal 3 jam, dan waktunya bisa kapan saja, pagi, siang, sore, malam, dinihari. Bahkan bisa terjadi 2-3 kali pemadaman dalam sehari.
Hal yg sangat menyesakkan terjadi seminggu lalu tgl 15 Sept 2014, listrik padam mulai pukul 8.30 dan baru menyala pukul 16.30 wib, memang setelah itu tidak ada pemadama lagi, saya pikir wah ini metode baru pemadaman kayaknya. Ternyata pemadaman terjadi lagi Senin kemarin tgl 22 Sept 2014, listrik padam mulai jam 07.30 dan baru menyala lagi pukul 19.45, di wilayah jl. Karya Sei Agul. Di daerah lain entah ada atau tidak pemadaman serupa dg waktu  atau durasi yg sama.

Mohin bantuan, tariff listrik naik saja sudah menyesakkan, apalagi ditambah hal ini.
",Kementerian Badan Usaha Milik Negara
0,"Kepada Yth. Pemerintah Provinsi DKI Jakarta, saya ingin melaporkan Fasilitas sosial dan fasilitas umum Komplek Taman Pulo Gebang RW 013 Kel. Cakung Timur Kec. Cakung di kuasai PT.MARABUNTA Sudah pernah dilaporkan melalui email dki@jakarta.go tgl 28/6/2013; 20/8/2013 dan 6/1/2014 balasannya akan diteruskan kepada yang berwenang. Sampai skrg tidak ada tindakan. Awalnya oleh penjaga tanah yayasan pensiun Bank Mandiri awalnya mengizinkan pemgumpul barang bekas korban kebakaran Ujung Menteng memakai tanah mandiri. Kemudian dalam perkembangannya lapangan bola kami akhirnya diduduki juga. Lapangan bola tersebut kemudian dijual dan difungsikan sebagai pangkalan truk kontainer. PT.Marabunta tidak punya izin lingkungan karena kami tidak mengizinkan tetapi mereka tetap menjalankannya dengan dukungan jendral AD waktu pengresmiannya. Karena lokasinya masih berupa tanah maka mereka mengotori akses jalan kami. Musim hujan berlumpur kemarau berdebu jalan kami. Taman belakang komplek dekat kali, sekarang ada pemulung yang menduduki. Tolong dibantu untuk penyelesaiannya. Terima kasih",Kantor Walikota Jakarta Timur
1,"Kepada Yth.Pemprov DKI Jakarta,
Saya ingin melaporkan banyaknya pengusaha konveksi yang tidak mematuhi aturan. Banyak merekrut karyawan belum cukup umur dan dipekerjakan sebagai anak dalam yang bekerja tidak ada batas hingga larut malam, apalagi karyawannya pendatang baru. Perlu adanya pendataan bagi pendatang ( urban ) di setiap wilayah masing-masing yang ada usaha konveksi, hampir semua kelurahan di kecamatan Tambora.Pemakaian listrik yang melebihi standar, tidak sesuai meteran, hal ini yang menyebabkan terjadinya kebakaran dan jika usahanya gulung tikar disebabkan kebakaran maka akan keluar asuransi.Mohon segera ditindaklanjuti. Terima kasih.",Dinas Tenaga Kerja dan Transmigrasi
2,"Kepada Yth Pemprov DKI Jakarta

Saya atas nama kepala keluarga Tarhiman yang beralamat di RT 003/RW 003 Kelurahan Kebon Kosong, Kemayoran, Jakarta Pusat ingin memberitahukan bahwa saya telah mengalami musibah kebakaran sehingga saya kehilangan tempat tinggal dan 2 anak saya masih butuh biaya sekolah. Saya mohon bantuan dan Kartu Perlindungan Sosial guna membantu meringankan beban hidup saya. Mohon bantuannya, terima kasih.",Dinas Sosial
3,"Mohon agar petasan ditertibkan karena mengganggu ibadah takbiran & bahaya kebakaran. Banyak petasan dimainkan di Jln. Asem Baris Kebon Baru Tebet Jakarta Selatan.

Salam,
Hendra Manurung,
warga",Kepolisian Daerah Metro Jakarta Raya
4,"Saya ingin melaporkan , sering terjadi banjir didepan Kantor Pemadam Kebakaran atau  didepan apartment Mediterania Garden 1 Tanjung Duren. Segera diperbaiki drainase disekitar daerah tersebut. Terima kasih.",Dinas Pekerjaan Umum Provinsi DKI Jakarta
5,"Mohon agar Polsek Tanjung Priok Jakarta segera menertibkan penjual petasan di Warakas. Di sana marak sekali penjual petasan, bahaya nanti bisa terjadi kebakaran.

Harap jadi perhatian. Terima kasih.",Kepolisian Daerah Metro Jakarta Raya
6,"ass,.pak bupati saya pak basran di kuala cenaku, maaf mengganggu , pak bupati tolong santuni kami pak bupati, rumah kami kebakaran di kuala cenaku pak,semua nya habis pak,.kami sangat berharap santunan dari pak bupati, wsslm",Bagian Administrasi Kesejahteraan Rakyat Kabupaten Inhu
7,"Kepada Yth Pemprov DKI Jakarta, saya ingin bertanya, saya CPNS umum 2013 saya tugas di Dinas Damkar. Tapi kenapa saya sekarang ditugaskan di PTSP. Sapami kapan saya bertugas di PTSP? saya ingin balik ke Dinas Pemadam Kebakaran lagi. Mohon tindak lanjutnya. Terima kasih.",Badan Kepegawaian Daerah
8,Saya ingin melaporkan Pedagang kaki lima didepan Kantor Pemadam Kebakaran dan di depan Stasiun Tanah Abang. Mohon segera ditindak lanjuti. Terima kasih.,Satuan Polisi Pamong Praja Provinsi DKI Jakarta
9,"Kepada Yth Pemprov DKI Jakarta 

Saya Meity Daniel, warga Jalan Tanjung Duren Selatan 1 No. 34, RT 004 RW 002, Jakarta Barat 11470. Saya ingin mengajukan laporan ada toko yang menjual gas dan air mineral tanpa ijin yang letaknya di pemukiman saya. Sang pemilik toko juga kerap membakar sampah dengan api besar di depan tokonya, dikuatirkan akan terjadi kebakaran. Hal ini sudah ditegur oleh Ketua RT dan RW serta keamanan setempat namun masih saja melakukan hal yang sama. Tolong bantu untuk direspon dan ditindaklanjuti. Terima kasih

","Dinas Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan Provinsi DKI Jakarta"
0,"Kepada Yth Pemprov DKI,


Saya ingin menanyakan perihal bangunan liar dan alih fungsi rumah tinggal menjadi industri. Yang ingin saya tanyakan adalah apakah sekarang pemprov DKI melegalkan bangunan liar dan alih fungsi rumah tinggal menjadi tempat industri? Karean di tempat kami di Teluk Gong, Penjaringan tepatnya di jalan Moa, banyak sekali bertebaran bangunan liar yang sepertinya tidak ditertibkan selama bertahun tahun. Pada tanggal 7 Juni 2014 terjadi kebakaran di bangunan liar tersebut yang kemudian menyambar rumah tinggal permanen di seberang bangunan liar, dimana bangunan permanen tersebut dilaih fungsikan menjadi konveksi. Beruntung tidak menyambar ke rumah tinggal yang dialih fungsikan menjadi percetakan. Kalau sampai tersambar api, saya dapat pastikan habis sudah kompleks perumahan kami.  Bagaimana bisa ada bangunan liar yang dibiarkan bertahun tahun disana? Bagaimana bisa sebuah rumah tinggal berubah fungsi menjadi tempat industri? Apakah perda no.7 tahun 2010 sudah tidak berlaku lagi? Coba bapak/ibu sebar anak buah ibu di sekitar teluk gong, banyak sekali percetakan illegal seperti di Jalan Moa 12a, Jalan Sili 1, dan banyak lagi), konveksi illegal, pemotongan besi, bengkel teralis, dll Kapan mau menertibkan bangunan liar dan alih fungsi tempat tinggal tersebut? Apakah mau menunggu sampai terjadi kebakaran lagi yang menghanguskan seluruh kompleks? Selain takut akan kebakaran industri-industri liar itu sangat mengganggu ketenangan penghuni lingkungan karena suara bising mesin mesin mereka.",Kantor Walikota Jakarta Utara
1,"Yth. Pemprov DKI Jakarta diharapkan perhatian dan tindaklanjutnya atas kondisi Pasar Senen Blok 3 yang mengalami musibah kebakaran. LAPOR! Kami para pedagang mengalami perlakukan yang kurang mengenakan dengan adanya aksi penjarahan ketika terjadi musibah kebakaran dan para petugas yang berwenang di lokasi tersebut hanya berdiam diri saja tanpa adanya aksi pengamanan.
Terimakasih",PD Pasar Jaya
2,"Kepada Yth Kementerian BUMN dan PT. PLN

Saya ingin melaporkan adanya sambungan langsung (sementara) pada lingkungan kami di Perumahan Taman Firdaus XII Blok. B No.9 Jl. Koja II Jatiasih Bekasi. Sambungan langsung ini dibuat dikarenakan adanya gangguan pada meteran listrik sebelumnya. Namun hingga saat ini belum kembali diperbaiki seperti semula.

Sambungan saat ini sangat terbuka dan dapat menimbulkan bahaya kebakaran dikarenakan hubungan arus pendek maupun konsleting lainnya. Terlampir kami sampaikan data dukung berupa foto.",PT PLN (Persero)
3,"Kepada Yth. Pemerintah Provinsi DKI Jakarta, saya ingin melaporkan agar pohon yang berada di dekat lokasi kantor saya untuk dipangkas, oleh pihak kelurahan biaya yang hendak dimintakan dengan alasan untuk membuang sampahnya sebesar Rp. 1.200.000. saya pun akhirnya menelepon kepada kantor suku dinas pertamanan dan pemakaman di KS Tubun No. 1 dan meminta ijin untuk memangkas sendiri pohon tersebut sedikit demi sedikit. pertanyaan saya apakah memang setiap pohon taman yang mengganggu kabel listrik yang dapat memicu adanya bencana kebakaran perlu membayar retribusi? sebab sepengetahuan saya yang dikenakan biaya retribusi apabila pohon hendak ditebang. 30 cm dikenakan 10.000/cm. mohon penjelasan dan petunjuk apa yang harus saya lakukan. terima kasih.",Dinas Pertamanan dan Pemakaman
4,"Saya ingine melaporkan ada industri konveksi liar ditengah kawasan pemukiman padat warga Jl.Pekojan 1 (Mesjid Pekojan) No.89 Kelurahan Pekojan, Tambora, Jakarta Barat. Sangat mengganggu lingkungan pemukiman, tiap hari bahkan sampai larut malam terdengar suara bising sampai dinding semua bergetar, apalagi daerah rawan sering kebakaran. omset nya besar bahkan sampai memasang iklan lowongan tukang obras didepan pintu dan ada tumpukan pasir/semen karena sedang renovasi Tanpa IMB. Apakah boleh industri tanpa izin macam ini mengganggu ditengah warga, mohon perlakuan yg adil seperti halnya penyegelan konveksi di jl.Sukarela, Penjaringan, terimakasih",Kantor Walikota Jakarta Barat
5,"Kepada Yth. Pemprov DKI Jakarta, saya lapor mengenai industri konveksi liar di tengah kawasan pemukiman padat penduduk di Jl. Pekojan 1 (Mesjid Pekojan) No. 89 Kelurahan Pekojan, Tambora, Jakarta Barat. Sangat mengganggu lingkungan pemukiman, tiap hari bahkan sampai larut malam terdengar suara bising sampai dinding semua bergetar, apalagi daerah rawan sering kebakaran. Omsetnya besar bahkan sampai memasang iklan lowongan tukang obras di depan pintu. Apakah boleh industri tanpa izin macam ini mengganggu di tengah pemukiman warga? Mohon untuk dilakukan peninjauan dan ditindaklanjuti, terima kasih.",Kantor Walikota Jakarta Barat
6,"Yth. Pemprov DKI Jakarta,

Saya tinggal di Jalan Batu Ampar 3, Jakarta Timur. Sekarang ini, kalau malam Minggu, di Jalan Batu Ampar ini ada pasar malam (pasar kaki 5 dadakan). Apakah operasi pasar malam tersebut sudah mendapatkan izin dari Pemprov DKI Jakarta? Selain itu, jika memang diberikan izin, mohon ditinjau ulang, apakah sudah tepat ada pasar malam yang dibangun disitu? Karena jalan tersebut sudah cukup ramai (bahkan terkadang macet) tanpa adanya pasar malam dan di dekat pasar malam tersebut juga ada pos Pemadam Kebakaran. Jika dilihat, pasar ini hanya akan menambah kemacetan dan menghalangi mobil Pemadam Kebakaran jika ingin lewat untuk ke tempat kebakaran.

Mohon ditindaklanjuti. Terima kasih.",Kantor Walikota Jakarta Timur
7,"Yth. Pemerintah,

Mohon informasi, apabila sebuah perusahaan mengubah nama perusahaannya, perizinan apa saja yang nantinya ikut berubah?

Dan ini beberapa perizinan yang ada di perusahaan kami yang bergerak di bidang farmasi:

- TDP
 - IG / HO
 - SIPA
 - SIPAB
 - Surat Keterangan Domisili
 - Izin Usaha Tetap (IUT)
 - Sertifikasi Alat (Bejana Tekan, Alat Angkat Angkut, Penangkal Petir, Kebakaran, dll)
 - Izin Mendirikan Bangunan (IMB)
 - Hak Guna Bangunan (HGB)
 - PBB
 - Pajak Air Tanah",Kementerian Kesehatan
8,"Kepada Yth Pemprov DKI Jakarta, sebelumnya saya turut prihatin dengan kejadian kebakaran di pasar senen, saya sendiri adalah pemilik kios di pasar senen, sekarang kegiatan pasar dilakukan di jalanan dekat pasar tersebut yang mengakibatkan terjadinya kemacetan parah, belum lagi akses pintu pasar yang ditutup oleh karena adanya pasar dadakan tersebut, perlu diketahui bahwa pasar senen blok 2 tetap beroperasi seperti biasa, saya sangat memahami keadaan ini, tetapi ada baiknya perlu dibuatkan pengaturan lalu lintas, batas jalan yang boleh dipakai untuk berjualan, parkir motor di jalanan, yang semuanya seakan-akan harus diberikan prioritas, bukankah setiap orang mempunyai kepentingan masing-masing? dan setiap orang tentu mempunyai musibah tersendiri yang entah kapan dia datang, melalui surat ini saya mohon penataan yang baik sehingga kiranya tidak ada pihak-pihak yang dirugikan dengan adanya kejadian ini, tentu semua orang tidak menginginkan adanya musibah, tetapi tentunya semua jalan keluar harus diusahakan agar semua kepentingan bisa berjalan, terima kasih",Dinas Perhubungan
9,"Kepada Yth. Pemprov DKI Jakarta, saya lapor mengenai adanya bangunan liar di Jalan Pondok Pinang 6 dan penampungan barang bekas yang sangat rawan kebakaran. Mohon untuk segera ditindaklanjuti, terima kasih.",Kantor Walikota Jakarta Selatan
0,"Kepada Yth.Pemprov DKI Jakarta,
Ingin melaporkan mengenai Rusunami Bandar Kemayoran,sudah 3 tahun lebih dihuni belum ada Rt/Rw nya,gedung juga belum ada cctvnya,alat pemadam kebakaran juga belum tersedia.Mohon perhatiannya dan tindaklanjutnya,terima kasih.",Kantor Walikota Jakarta Utara
1,"Yth. Pemerintah DKI jakarta lapor ke pengurusan sampah. di jalan komplek pemadam kebakaran dan di jalan belibis 4, cilincing, jakarta utara dijadikan tempat pembuangan sampah oleh warga. Kemarin saya lihat langsung pengendara motor melempar kantong sampah ke daerah sana. Bahkan ada orang yang buang tumpukan sisa potong kain. Kalau memang tanah kosong di daerah itu milik DKI tolong di jadikan waduk dan taman kota. Terima kasih",Kantor Walikota Jakarta Utara
2,"Yth PT PLN,

Saya warga Dusun 3 Tanjung Pasir, Kecamatan Pangkalan Susu, Kabupaten Langkat, Sumatera Utara. Saya ingin melapor perihal tidak adanya tiang listrik di lahan pertanian. 

Listrik yang kami gunakan sambung-menyambung dari rumah ke rumah dan berjumlah puluhan rumah. Kami khawatir akan terjadi konslet listrik dan mengakibatkan kebakaran, di samping itu sering Sekali kabel Iistrik kami lepas. Kami sudah mengadukan dan membuat proposal soal ini kepada PT. PLN, namun sampai sekarang belum ditanggapi.

Tolong diperhatikan dan ditindaklanjuti.

Terima kasih.",PT PLN (Persero)
3,"Surat untuk Bapak Ridwan Kamil Walikota Bandung.
Karena walaupun kami sudah melaporkan masalah penutupan jalan seperti di bawah ini sampai ke pihak Kecamatan REGOL sejak Januari 2014, namun belum ada solusi sama sekali sampai sekarang. Lagipula tidak ada aparat dari RT,RW,Kelurahan bahkan sampai KECAMATAN yang peduli dengan penderitaan kami dan berinisiatif untuk membuka portal tersebut.Maka kami terpaksa memohon kepada Bapak Walikota Bandung untuk memerintahkan kepada aparat terkait untuk membuka portal tersebut.
Kami warga komplek Kembar Mas  RW 9 kelurahan ANCOL kecamatan REGOL kota BANDUNG merasa sangat terisolir dan sangat menderita dengan ditutupnya total akses jalan utama kami menuju jalan Soekarno Hatta sejak kira-kira bulan Mei 2013 oleh RW 9 kelurahan PASIRLUYU kecamatan REGOL . 
Untuk akses ke jalan Soekarno Hatta kami harus berkeliling jauh dan melewati jalan yang rusak parah. Adapun kompleks Kembar Mas itu terdiri dari 2 RW yang berbeda dan kelurahan yang berbeda pula. Sebelum jalan diperbaiki oleh RW tersebut (RW 9 kelurahan PASIRLUYU kecamatan REGOL ) kami bebas melalui jalan tersebut selama lebih dari 20 tahun. 
Tetapi setelah jalan diperbaiki tiba-tiba kami tidak diperbolehkan sama sekali melewati jalan tersebut dengan alasan RW kami tidak ikut menyumbang biaya perbaikan jalan. Yang paling parah jalan tersebut diberi portal yang permanen(dilas ) dan tidak dapat dibuka tutup. Pada awalnya kami diberi akses melewati jalan lain dalam kompleks dengan batasan waktu dari jam 6:00 pagi sampai jam 21:00 malam. 
Namun sekarang jalan lain tersebutpun sudah setahun ini sengaja diberi tumpukan batu dengan alasan untuk perbaikan jalan yang tidak pernah ada realisasinya sampai sekarang. Bahkan tumpukan batu tersebut sekarang sudah ditumbuhi oleh tanaman liar. Alasan dari penutupan jalan tersebut adalah untuk keamanan warganya sendiri dan alasan perbaikan jalan lagi. 
Dengan kata lain kompleks kami sekarang ini seperti terbagi 2 seolah-olah seperti Korea Utara dan Korea Selatan itu. 
Alasan kami untuk meminta dibukanya kembali portal tersebut adalah:
1. Alasan keamanan terutama bila kebakaran terjadi maka akses ke TKP sangatlah sulit karena harus berkeliling jauh.
2. Alasan kalau pesan Taxi ataupun ambulance juga pasti akan kesulitan dengan penutupan portal tersebut.
3. Alasan tamu atau orang luar yang ingin berkunjung menjadi kesulitan karena harus berputar-putar.

Sebelumnya saya ucapkan banyak terima kasih atas bantuannya.

Riani Rachmat
Warga Kompleks Kembar Mas III no.46
RW 9 kelurahan ANCOL kecamatan REGOL
No.HP 0877-2252-4992
",Kecamatan Regol Kota Bandung
4,"Kepada Yth. Pemerintah Provinsi DKI Jakarta 
untuk honor, tenaga honorer di cairkan ini temen-temen nanyain kapan di bayar, baik di suku dinas kebersihan, dinas kebakaran, dinas pendidikan, dan lain-lain, apa lagi dinas pendidikan yang mau praktek dan ujian sekolah serta ujian nasional belum ada anggaran untuk menyetak naskah. Terima kasih ",Dinas Pendidikan
5,"Kepada Yth. Pemprov DKI Jakarta, saya lapor kembali mengenai masalah pengelasan yang mengganggu badan jalan sehingga mobil harus berhati-hati karena jalan sempit digunakan untuk pengelasan di pemukiman padat penduduk. Lokasinya dekat tiang listrik bila tabung gas meledak, kebakaran besar bisa saja terjadi. Pengelasan dilakukan untuk taksi atau mobil yang berkarat sehingga mengganggu karena berisik. Beralamat di Jalan M. Saidi 1 RT 05 RW 01 Pesanggrahan Petukangan Selatan Jakarta Selatan. Mohon untuk segera diperiksa dan ditindaklanjuti, terima kasih.",Kantor Walikota Jakarta Selatan
6,"Kepada Yth Pemprov DKI Jakarta

Saya ingin melaporkan agar mohon segera dilakukan penataan di Jalan Mangga Besar 2 atau dikenal dengan Kali Beton, karena Lingkungan tersebut sudah jauh dari Lingkungan Sehat, semakin hari kelihatan semakin tidak tertata. Dipinggir Kali Beton selain dijadikan pangkalan Bajaj dan Taxi, juga dijadikan tempat parkir gerobak sampah yang memakan separuh badan jalan. Ada pula bangunan dan lapak pemulung yang berdiri di pinggir Kali. Ditambah lagi dengan banyaknya Gunungan karung Sampah bekas sisa kebakaran tahun lalu yang hingga saat ini masih belum di angkat yang memakan badan jalan pula. Mohon ditindaklanjuti. Terima kasih.",Kantor Walikota Jakarta Barat
7,"Jalan Pondok Pinang 6, Kebayoran Lama, terdapat bangunan liar membuat jalanan sempit dan ada rumah penampungan barang-barang mudah terbakar, rumah penduduk di sana sangat padat sehingga kalau terjadi kebakaran tidak tahu apa yang akan terjadi. Mobil pemadam kebakaran tidak bisa masuk.

Mohon ditindaklanjuti oleh aparat setempat.",Kantor Walikota Jakarta Selatan
